"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",8,340000000,280,"不整形",10.7,570,"1991年","ＲＣ","共同住宅、店舗","住宅","西","区道",7,"近隣商業",80,300,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",6,61000000,45,"長方形",6,75,"2019年","木造","住宅","住宅","北","区道",5.2,"１種住居",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",7,89000000,100,"ほぼ整形",6,95,"2004年","木造","住宅","住宅","南","私道",3.6,"１低住専",50,100,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13111","東京都","大田区","北千束","大岡山",3,110000000,110,"長方形",5.5,30,"戦前","","","住宅","西","区道",5.4,"近隣商業",80,300,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",6,110000000,95,"長方形",6,90,"2018年","木造","住宅","住宅","西","区道",5.4,"１低住専",50,100,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",6,110000000,160,"不整形","",150,"2018年","木造","共同住宅","その他","西","区道",3,"１低住専",50,100,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",3,210000000,340,"ほぼ長方形",20,280,"1989年","軽量鉄骨造","共同住宅","住宅","南","区道",4.4,"１中住専",60,200,"2017年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",5,100000000,95,"長方形",7.3,95,"2018年","木造","住宅","住宅","西","区道",5.3,"１低住専",50,100,"2017年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",7,36000000,120,"袋地等","",80,"","木造","住宅","その他","南東","区道",8.1,"１中住専",60,200,"2017年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",7,18000000,120,"袋地等","",80,"1959年","木造","住宅","その他","南東","区道",8.1,"１中住専",60,200,"2017年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",5,20000000,90,"ほぼ正方形",9.2,70,"1971年","木造","住宅","住宅","接面道路無","","","１低住専",50,100,"2017年第2四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",6,94000000,95,"長方形",5,90,"2016年","木造","住宅","住宅","南","区道",5.2,"１低住専",50,100,"2017年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",3,69000000,120,"長方形",9.6,65,"","木造","住宅","住宅","東","区道",5.3,"１低住専",50,100,"2017年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13111","東京都","大田区","北千束","大岡山",3,110000000,40,"長方形",4.5,135,"1986年","鉄骨造","住宅、事務所、店舗","","東","区道",5,"近隣商業",80,300,"2017年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","南千束","大岡山",8,44000000,70,"ほぼ長方形",5.5,95,"1984年","木造","住宅、駐車場","住宅","西","区道",5.3,"１低住専",50,100,"2017年第1四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",5,80000000,120,"不整形",2.5,100,"2015年","木造","住宅","住宅","南東","私道",3.6,"１低住専",50,100,"2015年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13111","東京都","大田区","北千束","大岡山",2,80000000,70,"長方形",4,165,"1980年","鉄骨造","住宅、店舗","店舗","西","区道",6.5,"近隣商業",80,300,"2015年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",4,120000000,85,"ほぼ台形",8,290,"1996年","ＳＲＣ","共同住宅、駐車場","住宅","北","区道",5.4,"近隣商業",80,300,"2015年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",6,56000000,45,"ほぼ台形",9.7,75,"2015年","木造","住宅","住宅","北西","区道",18,"２低住専",60,200,"2015年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13111","東京都","大田区","北千束","大岡山",2,33000000,30,"長方形",5,60,"1998年","木造","住宅、店舗","","東","区道",4.4,"近隣商業",80,300,"2016年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13111","東京都","大田区","北千束","大岡山",5,110000000,110,"長方形",9,220,"1999年","鉄骨造","共同住宅","住宅","北","私道",3,"近隣商業",80,300,"2016年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",8,76000000,65,"ほぼ台形",6.7,100,"","","","住宅","北","区道",4.5,"１種住居",60,200,"2016年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",4,65000000,80,"台形","",105,"2000年","木造","住宅","住宅","東","私道",4.2,"１中住専",60,200,"2016年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13111","東京都","大田区","北千束","大岡山",3,96000000,100,"不整形",3.5,210,"1996年","鉄骨造","住宅、店舗","住宅","西","区道",5.4,"近隣商業",80,300,"2016年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",6,67000000,50,"ほぼ長方形",4.9,100,"","木造","住宅","住宅","南","区道",3.5,"近隣商業",80,300,"2016年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",6,140000000,240,"長方形",13,270,"1971年","木造","住宅、共同住宅、駐車場","住宅","北","区道",5.4,"１低住専",50,100,"2016年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","北千束","大岡山",4,30000000,50,"ほぼ正方形",7,65,"2004年","木造","住宅","住宅","東","区道",6,"１中住専",60,200,"2016年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","南千束","大岡山",6,50000000,40,"長方形",4.5,75,"2015年","木造","住宅","住宅","北","区道",7.9,"１中住専",60,200,"2015年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","南千束","大岡山",9,100000000,100,"ほぼ台形",5.9,95,"2016年","木造","住宅","住宅","南西","私道",4.5,"１低住専",50,100,"2016年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","南千束","大岡山",8,95000000,115,"長方形",5.5,100,"2009年","木造","住宅","住宅","北","区道",5.3,"１低住専",50,100,"2016年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","南千束","大岡山",7,56000000,55,"ほぼ台形",5,70,"","木造","住宅","住宅","北","私道",2.6,"１中住専",60,200,"2016年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","南千束","大岡山",9,61000000,105,"不整形","",80,"1997年","木造","住宅","住宅","西","私道",4.5,"１低住専",50,100,"2016年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","南千束","大岡山",9,52000000,65,"ほぼ正方形","",65,"2016年","木造","住宅","住宅","西","私道",4,"１低住専",50,100,"2016年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","南千束","大岡山",9,52000000,65,"ほぼ正方形","",65,"2016年","木造","住宅","住宅","西","私道",3.8,"１低住専",50,100,"2016年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","南千束","大岡山",9,140000000,220,"長方形",10,240,"1989年","ＲＣ","住宅","住宅","北","区道",5.4,"１低住専",50,100,"2016年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13111","東京都","大田区","南千束","大岡山",6,79000000,105,"ほぼ長方形",9,105,"1981年","木造","住宅","住宅","南","区道",5.4,"１低住専",50,100,"2016年第1四半期",""
